checkpoint  sep_actual_med  sep_intent_med  plate_sep_actual_med  plate_sep_intent_med  corr(ts_intent,ts_actual)  corr(sep_intent,sep_actual)
       y50           2.548           1.515                16.989                 8.357                      0.294                        0.579
       y45           3.729           2.094                16.989                 8.357                      0.293                        0.469
       y40           4.976           2.598                16.989                 8.357                      0.279                        0.384
       y35           6.243           3.056                16.989                 8.357                      0.261                        0.315
       y30           7.539           3.468                16.989                 8.357                      0.243                        0.259
       y25           8.889           3.863                16.989                 8.357                      0.224                        0.218
     y23.8           9.226           3.963                16.989                 8.357                      0.219                        0.211
       y20          10.323           4.297                16.989                 8.357                      0.204                        0.197
       y15          11.865           4.845                16.989                 8.357                      0.179                        0.198
       y10          13.576           5.682                16.989                 8.357                      0.147                        0.220
        y5          15.483           7.032                16.989                 8.357                      0.111                        0.259
