checkpoint  sep_actual_med  sep_intent_med  plate_sep_actual_med  plate_sep_intent_med  corr(ts_intent,ts_actual)  corr(sep_intent,sep_actual)
       y50           2.585           1.556                16.817                 8.418                      0.271                        0.568
       y45           3.757           2.114                16.817                 8.418                      0.260                        0.457
       y40           4.979           2.615                16.817                 8.418                      0.240                        0.365
       y35           6.230           3.066                16.817                 8.418                      0.217                        0.289
       y30           7.511           3.473                16.817                 8.418                      0.197                        0.226
       y25           8.838           3.874                16.817                 8.418                      0.179                        0.180
     y23.8           9.162           3.972                16.817                 8.418                      0.175                        0.172
       y20          10.240           4.300                16.817                 8.418                      0.161                        0.156
       y15          11.761           4.842                16.817                 8.418                      0.140                        0.157
       y10          13.440           5.696                16.817                 8.418                      0.116                        0.182
        y5          15.323           7.068                16.817                 8.418                      0.092                        0.222
