pair_type,ti_1,ta_1,ti40_1,ta40_1,n_1,null_ti_1,excess_ti_1,null_ta_1,excess_ta_1,null_ti40_1,excess_ti40_1,null_ta40_1,excess_ta40_1,level_1,ti_2,ta_2,ti40_2,ta40_2,n_2,null_ti_2,excess_ti_2,null_ta_2,excess_ta_2,null_ti40_2,excess_ti40_2,null_ta40_2,excess_ta40_2,level_2
CH>CH,0.5161877,0.53225154,1.1066025,1.2123972,6231,0.5283605,-0.012172759,0.5283596,0.003891945,1.1613123,-0.054709792,1.1913898,0.021007419,game_type,0.5191091,0.53339076,1.1142174,1.216114,6325,0.53120255,-0.012093484,0.53500056,-0.0016098022,1.1693814,-0.05516398,1.2019496,0.014164448,game_type
CH>CU,0.000493546,0.446919,0.092377655,0.8991775,1044,0.004256806,-0.0037632599,0.43965515,0.0072638392,0.100925714,-0.008548059,0.8533918,0.045785666,game_type,0.019704128,0.46994936,0.11288434,0.90211123,999,0.012580025,0.0071241027,0.42802665,0.04192272,0.11672905,-0.0038447082,0.8235221,0.07858914,game_type
CH>FC,0.8625294,0.7421165,1.4620817,1.4193053,1349,0.8646875,-0.0021581054,0.727572,0.014544487,1.4528216,0.009260058,1.3865186,0.032786727,game_type,0.8430878,0.7128136,1.4052545,1.3503318,1354,0.8444307,-0.0013428926,0.69513375,0.01767987,1.4080112,-0.0027567148,1.3333769,0.016954899,game_type
CH>FF,1.0131203,0.72887456,1.6898655,1.4199305,6913,0.98961693,0.023503363,0.711007,0.017867565,1.6459928,0.043872714,1.379085,0.040845513,game_type,1.020077,0.73114187,1.6830195,1.4273263,7099,0.99369603,0.026380956,0.7153975,0.015744388,1.6401874,0.042832136,1.3821263,0.04519999,game_type
CH>FS,0.24583884,0.53372705,0.48911008,1.2283001,10,0.36858758,-0.12274875,0.4539548,0.079772264,0.7665719,-0.2774618,1.0480049,0.18029523,game_type,0.6669152,0.511909,0.8667519,1.1598259,31,0.6389015,0.028013706,0.51442575,-0.0025167465,0.8993604,-0.03260851,1.1887467,-0.02892077,game_type
CH>KC,0.06595238,0.44771808,0.1677694,0.93890923,216,0.1228109,-0.056858517,0.4310365,0.016681582,0.22768015,-0.059910744,0.8657513,0.07315791,game_type,0.06773787,0.51946205,0.18604991,0.8912703,273,0.15895031,-0.091212444,0.42653266,0.09292939,0.27120888,-0.085158974,0.8102179,0.08105236,game_type
CH>SI,0.783094,0.5970384,1.3459202,1.2436903,2251,0.7676152,0.01547879,0.5883971,0.008641303,1.318707,0.027213216,1.2277888,0.015901446,game_type,0.81769174,0.61000353,1.3806459,1.2769899,2225,0.79123217,0.026459575,0.60946393,0.00053960085,1.3616806,0.018965244,1.2683232,0.008666754,game_type
CH>SL,0.8603448,0.6432023,1.1926416,1.2841007,1561,0.78979445,0.07055038,0.635862,0.007340312,1.1214156,0.071226,1.2345707,0.04952991,game_type,0.8020596,0.6350188,1.1238477,1.2403522,1696,0.75354123,0.04851836,0.61184347,0.023175359,1.0827616,0.041086078,1.2029978,0.03735435,game_type
CH>ST,0.5442269,0.6226758,0.6650097,1.1445329,721,0.5171833,0.027043581,0.61120963,0.0114661455,0.6567311,0.008278549,1.1040412,0.0404917,game_type,0.42315936,0.6143988,0.5443449,1.0715301,818,0.42066452,0.0024948418,0.5714943,0.042904496,0.5576193,-0.013274372,1.0255835,0.045946598,game_type
CH>SV,0.79412824,0.6162767,0.7315357,1.2091582,59,0.5948911,0.19923717,0.5732564,0.043020308,0.55992573,0.17160994,1.0441312,0.16502702,game_type,0.5054944,0.64473647,0.4071094,1.0856932,80,0.3715819,0.1339125,0.4876606,0.15707588,0.37748605,0.02962336,0.8882176,0.19747561,game_type
CU>CH,-0.14595406,0.40862316,-0.023807488,0.8211445,1733,-0.088733695,-0.057220362,0.4424936,-0.03387043,0.033174343,-0.05698183,0.8492023,-0.028057754,game_type,-0.14876874,0.41751057,-0.025269514,0.8454615,1767,-0.08142475,-0.06734399,0.4192495,-0.0017389357,0.04220371,-0.067473225,0.83849365,0.0069678426,game_type
CU>CU,0.5126199,0.5270964,1.1142355,1.1960163,3169,0.5238021,-0.011182189,0.5296085,-0.0025120974,1.1633158,-0.049080253,1.1838759,0.012140393,game_type,0.5130195,0.5322196,1.1119714,1.2131946,3179,0.52326137,-0.010241866,0.5282701,0.0039494634,1.1596341,-0.047662735,1.1913536,0.02184105,game_type
CU>FC,0.62320167,0.6357791,0.77039295,1.10046,992,0.57932496,0.043876708,0.63174015,0.00403893,0.7250984,0.045294583,1.0816212,0.018838882,game_type,0.6129368,0.63611823,0.735017,1.0949033,951,0.58089685,0.03203994,0.60045224,0.03566599,0.6958569,0.039160073,1.049315,0.045588374,game_type
CU>FF,0.8215551,0.67537653,0.8164381,1.0792148,4660,0.74355966,0.07799542,0.61865896,0.056717575,0.7398257,0.07661235,0.9989454,0.0802694,game_type,0.75815415,0.67366207,0.7535148,1.0803761,4441,0.68938744,0.06876671,0.6168233,0.05683875,0.6836885,0.069826305,1.0011051,0.07927108,game_type
CU>FS,-0.28202078,0.35097218,-0.10340174,0.8093659,485,-0.2145347,-0.06748608,0.37598225,-0.02501008,-0.039922368,-0.06347938,0.81051844,-0.0011525154,game_type,-0.37595212,0.35523775,-0.1952451,0.80636847,574,-0.3008778,-0.075074315,0.3782253,-0.022987545,-0.12101637,-0.074228734,0.8045309,0.0018375516,game_type
CU>SI,0.24728905,0.5501414,0.28068984,0.8924156,1619,0.27277333,-0.025484279,0.53473395,0.015407443,0.29285324,-0.012163401,0.8818209,0.010594666,game_type,0.2692766,0.53647584,0.28001502,0.8720503,1568,0.25896326,0.010313332,0.5209637,0.015512109,0.2688604,0.011154622,0.86737436,0.004675925,game_type
CU>SL,-0.037411213,0.45033142,0.098665066,0.92128956,1116,0.01903038,-0.05644159,0.45345753,-0.0031261146,0.15422593,-0.055560865,0.91031617,0.010973394,game_type,-0.024954095,0.4324977,0.112789065,0.9080599,1087,0.045491815,-0.07044591,0.46151203,-0.02901432,0.19058444,-0.07779537,0.9202769,-0.012216985,game_type
CU>ST,0.4394694,0.49453577,0.43290415,0.86329067,330,0.4328315,0.006637901,0.52905273,-0.03451696,0.42674014,0.0061640143,0.93898886,-0.0756982,game_type,0.31045857,0.49219602,0.3697072,0.9426269,349,0.2953335,0.015125066,0.50281507,-0.010619044,0.37368175,-0.003974557,0.9354771,0.0071498156,game_type
CU>SV,0.61889726,0.34230334,0.47984707,0.74250895,22,0.65589553,-0.036998272,0.44348428,-0.10118094,0.58208126,-0.102234185,0.9219219,-0.17941296,game_type,0.5962386,0.43889743,0.4562482,0.8856772,17,0.34995583,0.24628279,0.51681405,-0.07791662,0.3160008,0.1402474,1.0558397,-0.17016244,game_type
FC>CH,0.86588573,0.7129492,1.4331504,1.361941,1531,0.8551524,0.010733306,0.71809614,-0.0051469207,1.4301317,0.0030187368,1.3554094,0.006531596,game_type,0.85621506,0.744135,1.4183158,1.4149816,1607,0.85355604,0.0026590228,0.7164129,0.02772212,1.4299691,-0.011653304,1.3548738,0.060107827,game_type
FC>CU,0.67130566,0.65950775,0.7796774,1.113035,1031,0.64811397,0.02319169,0.6012683,0.05823946,0.7861541,-0.0064767003,1.0321387,0.08089626,game_type,0.6157809,0.6068351,0.71565336,1.0302887,942,0.62298644,-0.007205546,0.5927187,0.014116406,0.74063987,-0.024986506,1.0027056,0.027583122,game_type
FC>FC,0.50681645,0.5306504,1.0969669,1.1954751,3870,0.5196869,-0.012870431,0.5254699,0.005180478,1.1473744,-0.05040753,1.1797541,0.015720963,game_type,0.5079369,0.53119534,1.0959175,1.1953603,4414,0.5172327,-0.009295821,0.52577716,0.0054181814,1.1436386,-0.047721148,1.1778241,0.017536163,game_type
FC>FF,0.7533444,0.6104891,1.1107303,1.2167189,3202,0.74060297,0.0127414465,0.5967372,0.013751864,1.1356376,-0.02490735,1.1931993,0.023519635,game_type,0.7323127,0.6148832,1.0426614,1.1931101,3484,0.73497725,-0.002664566,0.59243226,0.022450924,1.0828166,-0.040155172,1.1769824,0.016127706,game_type
