pitcher_id,ti_1,ta_1,ti40_1,ta40_1,n_1,null_ti_1,excess_ti_1,null_ta_1,excess_ta_1,null_ti40_1,excess_ti40_1,null_ta40_1,excess_ta40_1,level_1,ti_2,ta_2,ti40_2,ta40_2,n_2,null_ti_2,excess_ti_2,null_ta_2,excess_ta_2,null_ti40_2,excess_ti40_2,null_ta40_2,excess_ta40_2,level_2
434378,0.54235756,0.5965159,0.95647424,1.174933,844,0.5575176,-0.015160024,0.5882362,0.008279681,1.00522,-0.04874581,1.1396669,0.03526604,game_type,0.53874606,0.55819786,1.0118947,1.1459217,822,0.5524124,-0.013666332,0.55384886,0.0043489933,1.0452216,-0.033326864,1.1146421,0.031279564,game_type
445276,0.5440457,0.5493562,1.0131309,1.2019604,206,0.53927493,0.004770756,0.55237913,-0.0030229092,1.0087467,0.00438416,1.1769773,0.024983168,game_type,0.6009553,0.5329685,0.9804405,1.1827023,272,0.56823087,0.03272444,0.5153339,0.01763463,0.98322767,-0.0027871728,1.0805265,0.10217583,game_type
445926,0.6552677,0.43604264,0.9014905,1.0275605,20,0.4285353,0.2267324,0.37935317,0.05668947,0.8678064,0.033684134,0.8871462,0.1404143,game_type,0.5401426,0.6684991,1.2727476,1.4182754,1,0.53427535,0.005867243,0.48907182,0.1794273,1.2406547,0.03209293,1.3015137,0.116761684,game_type
448179,0.17933288,0.3816716,0.696147,0.83072764,31,0.2079236,-0.028590724,0.48709065,-0.10541904,0.6866493,0.009497702,0.95931906,-0.12859142,game_type,0.5695464,0.51749927,1.0050077,1.0314829,27,0.5494727,0.020073712,0.45109445,0.06640482,0.98559374,0.019414008,0.9877513,0.04373163,game_type
450203,0.7549738,0.6400816,1.0476792,1.2019345,834,0.743661,0.011312842,0.62270314,0.01737845,1.0510126,-0.0033334494,1.168768,0.03316641,game_type,0.6333547,0.593318,0.9849154,1.1446486,737,0.63432527,-0.00097054243,0.5741943,0.019123673,1.0025324,-0.017616987,1.1110231,0.033625484,game_type
453286,0.69536304,0.6519039,1.2313962,1.2519792,440,0.69344085,0.0019221902,0.65077233,0.0011315942,1.2219776,0.009418607,1.2375553,0.014423966,game_type,0.5462478,0.595237,1.050512,1.2197942,501,0.5383348,0.007912993,0.5767056,0.018531442,1.0481795,0.002332449,1.1793114,0.04048276,game_type
455119,0.616276,0.60110706,1.1885619,1.2578723,133,0.68832934,-0.07205331,0.6111811,-0.010074019,1.2760354,-0.08747351,1.247835,0.010037303,game_type,0.49901754,0.49507472,0.97052914,1.0722953,120,0.5118029,-0.012785375,0.46544728,0.029627442,1.002418,-0.031888902,1.0037764,0.06851888,game_type
458677,0.8058252,0.609784,1.401042,1.2475594,170,0.8061154,-0.00029021502,0.5955736,0.014210403,1.3665303,0.034511685,1.2516786,-0.004119158,game_type,0.72202724,0.6268167,1.2287251,1.27882,210,0.7261331,-0.004105866,0.6002431,0.026573598,1.261334,-0.032608867,1.2258679,0.05295217,game_type
471911,0.65248805,0.57479626,1.2015232,1.2420778,236,0.6640568,-0.011568725,0.58074236,-0.0059460998,1.2048386,-0.0033154488,1.2539076,-0.011829734,game_type,0.6671725,0.5768918,1.1946458,1.2831423,170,0.6314505,0.035722017,0.5883348,-0.011443019,1.180485,0.014160752,1.2094725,0.07366979,game_type
472610,0.8991759,0.6936077,1.2057511,1.271272,223,0.8833449,0.015830994,0.6676437,0.025963962,1.2473261,-0.041575074,1.2546006,0.0166713,game_type,0.7554072,0.60100573,0.93310994,1.1762365,300,0.7243006,0.031106591,0.55364966,0.04735607,0.9309434,0.0021665096,1.1526437,0.02359283,game_type
